INFO 2026-02-12 07:32:21,279 middleware 13565 124721622415040 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-12 07:32:21,346 middleware 13565 124721622415040 Response: GET /admin/ [200] - 0.066s
INFO 2026-02-12 07:32:26,737 middleware 13565 124721622415040 Request: GET /admin/auth/group/ from 127.0.0.1
INFO 2026-02-12 07:32:26,786 middleware 13565 124721622415040 Response: GET /admin/auth/group/ [200] - 0.049s
INFO 2026-02-12 07:32:26,870 middleware 13565 124721614022336 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:32:26,922 middleware 13565 124721614022336 Response: GET /admin/jsi18n/ [200] - 0.052s
INFO 2026-02-12 07:32:28,325 middleware 13565 124721605629632 Request: GET /admin/auth/group/ from 127.0.0.1
INFO 2026-02-12 07:32:28,370 middleware 13565 124721605629632 Response: GET /admin/auth/group/ [200] - 0.045s
INFO 2026-02-12 07:32:28,435 middleware 13565 124721605629632 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:32:28,461 middleware 13565 124721605629632 Response: GET /admin/jsi18n/ [200] - 0.025s
INFO 2026-02-12 07:44:53,330 middleware 14491 127548416583360 Request: GET /admin/auth/group/ from 127.0.0.1
WARNING 2026-02-12 07:44:53,348 base 14491 127548416583360 Session data corrupted
INFO 2026-02-12 07:44:53,356 middleware 14491 127548416583360 Response: GET /admin/auth/group/ [302] - 0.026s
INFO 2026-02-12 07:44:53,363 middleware 14491 127548416583360 Request: GET /admin/login/ from 127.0.0.1
WARNING 2026-02-12 07:44:53,385 base 14491 127548416583360 Session data corrupted
INFO 2026-02-12 07:44:53,422 middleware 14491 127548416583360 Response: GET /admin/login/ [200] - 0.060s
INFO 2026-02-12 07:45:00,099 middleware 14491 127548416583360 Request: POST /admin/login/ from 127.0.0.1
WARNING 2026-02-12 07:45:00,118 base 14491 127548416583360 Session data corrupted
INFO 2026-02-12 07:45:00,829 middleware 14491 127548416583360 Response: POST /admin/login/ [302] - 0.730s
INFO 2026-02-12 07:45:00,844 middleware 14491 127548416583360 Request: GET /admin/auth/group/ from 127.0.0.1
INFO 2026-02-12 07:45:00,904 middleware 14491 127548416583360 Response: GET /admin/auth/group/ [200] - 0.060s
INFO 2026-02-12 07:45:01,045 middleware 14491 127548416583360 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:45:01,084 middleware 14491 127548416583360 Response: GET /admin/jsi18n/ [200] - 0.039s
INFO 2026-02-12 07:45:04,853 middleware 14491 127548416583360 Request: GET /admin/authentication/user/ from 127.0.0.1
INFO 2026-02-12 07:45:04,899 middleware 14491 127548416583360 Response: GET /admin/authentication/user/ [200] - 0.046s
INFO 2026-02-12 07:45:04,943 middleware 14491 127548416583360 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:45:04,974 middleware 14491 127548416583360 Response: GET /admin/jsi18n/ [200] - 0.031s
INFO 2026-02-12 07:45:10,903 middleware 14491 127548416583360 Request: GET /admin/authentication/user/1/change/ from 127.0.0.1
INFO 2026-02-12 07:45:11,035 middleware 14491 127548416583360 Response: GET /admin/authentication/user/1/change/ [200] - 0.132s
INFO 2026-02-12 07:45:11,132 middleware 14491 127548408190656 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-12 07:45:11,187 middleware 14491 127548408190656 Response: GET /admin/jsi18n/ [200] - 0.054s
INFO 2026-02-20 11:26:34,063 middleware 52927 127369685755584 Request: GET / from 127.0.0.1
INFO 2026-02-20 11:26:34,135 middleware 52927 127369685755584 Response: GET / [404] - 0.072s
WARNING 2026-02-20 11:26:34,138 log 52927 127369685755584 Not Found: /
WARNING 2026-02-20 11:26:34,142 basehttp 52927 127369685755584 "GET / HTTP/1.1" 404 3789
INFO 2026-02-20 11:26:34,447 middleware 52927 127369685755584 Request: GET /favicon.ico from 127.0.0.1
INFO 2026-02-20 11:26:34,463 middleware 52927 127369685755584 Response: GET /favicon.ico [404] - 0.016s
WARNING 2026-02-20 11:26:34,465 log 52927 127369685755584 Not Found: /favicon.ico
WARNING 2026-02-20 11:26:34,465 basehttp 52927 127369685755584 "GET /favicon.ico HTTP/1.1" 404 3840
INFO 2026-02-20 11:26:39,232 middleware 52927 127369685755584 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-20 11:26:39,323 middleware 52927 127369685755584 Response: GET /admin/ [200] - 0.091s
INFO 2026-02-20 11:27:30,787 middleware 53648 137446848194240 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-20 11:27:30,869 middleware 53648 137446848194240 Response: GET /admin/ [200] - 0.082s
INFO 2026-02-20 11:27:32,831 middleware 53648 137446848194240 Request: GET /admin/classes/class/ from 127.0.0.1
INFO 2026-02-20 11:27:32,888 middleware 53648 137446848194240 Response: GET /admin/classes/class/ [200] - 0.056s
INFO 2026-02-20 11:27:32,985 middleware 53648 137446839801536 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-20 11:27:33,055 middleware 53648 137446839801536 Response: GET /admin/jsi18n/ [200] - 0.070s
INFO 2026-02-20 11:27:34,877 middleware 53648 137446829311680 Request: GET /admin/classes/enrollment/ from 127.0.0.1
INFO 2026-02-20 11:27:34,916 middleware 53648 137446829311680 Response: GET /admin/classes/enrollment/ [200] - 0.038s
INFO 2026-02-20 11:27:34,992 middleware 53648 137446829311680 Request: GET /admin/jsi18n/ from 127.0.0.1
INFO 2026-02-20 11:27:35,043 middleware 53648 137446829311680 Response: GET /admin/jsi18n/ [200] - 0.051s
INFO 2026-02-26 16:36:19,379 middleware 20345 131569635288768 Request: GET / from 127.0.0.1
INFO 2026-02-26 16:36:19,423 middleware 20345 131569635288768 Response: GET / [404] - 0.044s
WARNING 2026-02-26 16:36:19,423 log 20345 131569635288768 Not Found: /
WARNING 2026-02-26 16:36:19,424 basehttp 20345 131569635288768 "GET / HTTP/1.1" 404 3789
INFO 2026-02-26 16:36:19,650 middleware 20345 131569635288768 Request: GET /favicon.ico from 127.0.0.1
INFO 2026-02-26 16:36:19,664 middleware 20345 131569635288768 Response: GET /favicon.ico [404] - 0.014s
WARNING 2026-02-26 16:36:19,665 log 20345 131569635288768 Not Found: /favicon.ico
WARNING 2026-02-26 16:36:19,666 basehttp 20345 131569635288768 "GET /favicon.ico HTTP/1.1" 404 3840
INFO 2026-02-26 16:36:22,270 middleware 20345 131569635288768 Request: GET /admin from 127.0.0.1
INFO 2026-02-26 16:36:22,290 middleware 20345 131569635288768 Response: GET /admin [404] - 0.020s
INFO 2026-02-26 16:36:22,304 middleware 20345 131569626896064 Request: GET /admin/ from 127.0.0.1
INFO 2026-02-26 16:36:22,332 middleware 20345 131569626896064 Response: GET /admin/ [302] - 0.028s
INFO 2026-02-26 16:36:22,342 middleware 20345 131569626896064 Request: GET /admin/login/ from 127.0.0.1
INFO 2026-02-26 16:36:22,377 middleware 20345 131569626896064 Response: GET /admin/login/ [200] - 0.035s
INFO 2026-02-26 16:36:27,628 middleware 20345 131569635288768 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-26 16:36:28,375 middleware 20345 131569635288768 Response: POST /admin/login/ [200] - 0.747s
INFO 2026-02-26 16:36:32,524 middleware 20345 131569635288768 Request: POST /admin/login/ from 127.0.0.1
INFO 2026-02-26 16:36:33,256 middleware 20345 131569635288768 Response: POST /admin/login/ [200] - 0.732s
